2016/01/25 08:42:26 WARN  - jmeter.protocol.http.proxy.Proxy: [4207] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2016/01/25 08:42:27 WARN  - jmeter.protocol.http.proxy.Proxy: [4208] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2016/01/25 08:42:27 WARN  - jmeter.protocol.http.proxy.Proxy: [4210] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Connection reset 
2016/01/25 08:42:27 WARN  - jmeter.protocol.http.proxy.Proxy: [4209] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2016/01/25 08:42:47 INFO  - jmeter.protocol.http.proxy.ProxyControl: [4046] Creating entry www.google.com in C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13\bin\proxyserver.jks 
2016/01/25 08:42:48 INFO  - jmeter.protocol.http.proxy.Proxy: [4049] KeyStore for SSL loaded OK and put host '5-edge-chat.facebook.com' in map with key (5-edge-chat.facebook.com) 
2016/01/25 08:42:48 WARN  - jmeter.protocol.http.proxy.Proxy: [4049] Problem with SSL certificate for '5-edge-chat.facebook.com'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2016/01/25 08:42:53 WARN  - jmeter.protocol.http.proxy.Proxy: [4215] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2016/01/25 08:42:53 WARN  - jmeter.protocol.http.proxy.Proxy: [4214] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Connection reset 
2016/01/25 08:42:53 WARN  - jmeter.protocol.http.proxy.Proxy: [4216] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2016/01/25 08:42:53 WARN  - jmeter.protocol.http.proxy.Proxy: [4218] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2016/01/25 08:42:59 WARN  - jmeter.protocol.http.proxy.HttpRequestHdr: Url 'http://rek.www.wp.pl/g/fsc.gif?753,4c727055666c5673647a49414448694f,010|005|080|081|082|083|084|085|006,139a1aa0ebed511aeaafa6cf6b699512' contains unsafe characters, will escape it, message:Illegal character in query at index 71: http://rek.www.wp.pl/g/fsc.gif?753,4c727055666c5673647a49414448694f,010|005|080|081|082|083|084|085|006,139a1aa0ebed511aeaafa6cf6b699512 
2016/01/25 08:43:18 INFO  - jmeter.protocol.http.proxy.ProxyControl: [4536] Creating entry syndication.twitter.com in C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13\bin\proxyserver.jks 
2016/01/25 08:43:18 INFO  - jmeter.protocol.http.proxy.Proxy: [4046] KeyStore for SSL loaded OK and put host 'www.google.com' in map with key (www.google.com) 
2016/01/25 08:43:18 WARN  - jmeter.protocol.http.proxy.Proxy: [4046] Problem with SSL certificate for 'www.google.com'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2016/01/25 08:43:27 WARN  - jmeter.protocol.http.proxy.HttpRequestHdr: Url 'http://rek.www.wp.pl/g/fsc.gif?753,4c727055666c5673647a49414448694f,010|005|080|081|082|083|084|085|006,139a1aa0ebed511aeaafa6cf6b699512' contains unsafe characters, will escape it, message:Illegal character in query at index 71: http://rek.www.wp.pl/g/fsc.gif?753,4c727055666c5673647a49414448694f,010|005|080|081|082|083|084|085|006,139a1aa0ebed511aeaafa6cf6b699512 
2016/01/25 08:43:33 WARN  - jmeter.protocol.http.proxy.HttpRequestHdr: Url 'http://rek.www.wp.pl/g/fsc.gif?753,4c727055666c5673647a49414448694f,010|005|080|081|082|083|084|085|006,139a1aa0ebed511aeaafa6cf6b699512' contains unsafe characters, will escape it, message:Illegal character in query at index 71: http://rek.www.wp.pl/g/fsc.gif?753,4c727055666c5673647a49414448694f,010|005|080|081|082|083|084|085|006,139a1aa0ebed511aeaafa6cf6b699512 
2016/01/25 08:43:38 WARN  - jmeter.protocol.http.proxy.HttpRequestHdr: Url 'http://rek.www.wp.pl/g/fsc.gif?753,4c727055666c5673647a49414448694f,010|037|005|080|081|082|083|084|085|006,139a1aa0ebed511aeaafa6cf6b699512' contains unsafe characters, will escape it, message:Illegal character in query at index 71: http://rek.www.wp.pl/g/fsc.gif?753,4c727055666c5673647a49414448694f,010|037|005|080|081|082|083|084|085|006,139a1aa0ebed511aeaafa6cf6b699512 
2016/01/25 08:43:49 INFO  - jmeter.protocol.http.proxy.ProxyControl: [4533] Creating entry googleads.g.doubleclick.net in C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13\bin\proxyserver.jks 
2016/01/25 08:43:49 INFO  - jmeter.protocol.http.proxy.Proxy: [4536] KeyStore for SSL loaded OK and put host 'syndication.twitter.com' in map with key (syndication.twitter.com) 
2016/01/25 08:43:49 WARN  - jmeter.protocol.http.proxy.Proxy: [4536] Problem with SSL certificate for 'syndication.twitter.com'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2016/01/25 08:44:19 INFO  - jmeter.protocol.http.proxy.ProxyControl: [4527] Creating entry connect.facebook.net in C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13\bin\proxyserver.jks 
2016/01/25 08:44:19 INFO  - jmeter.protocol.http.proxy.Proxy: [4533] KeyStore for SSL loaded OK and put host 'googleads.g.doubleclick.net' in map with key (googleads.g.doubleclick.net) 
2016/01/25 08:44:19 WARN  - jmeter.protocol.http.proxy.Proxy: [4533] Problem with SSL certificate for 'googleads.g.doubleclick.net'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2016/01/25 08:44:40 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2016/01/25 08:44:40 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2016/01/25 08:44:40 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2016/01/25 08:44:40 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2016/01/25 08:44:40 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2016/01/25 08:44:41 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2016/01/25 08:44:41 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Thread Group. 
2016/01/25 08:44:41 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/01/25 08:44:41 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2016/01/25 08:44:41 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
